WTvsR.solani_AG2_BC	WTvsR.solani_AG5_BC	WTvsA.alternata_BC	WTvsR.solani_AG2_C	WTvsR.solani_AG5_C	WTvsA.alternata_C	WTvsR.solani_AG2_AC	WTvsR.solani_AG5_AC	WTvsA.alternata_AC
			Tatro_007203					Tatro_005350
			Tatro_002652					Tatro_005391
			Tatro_001395					Tatro_005393
			Tatro_004205					Tatro_005399
			Tatro_010179					Tatro_005465
			Tatro_010910					Tatro_005505
			Tatro_002588					Tatro_005506
			Tatro_000564					Tatro_005519
			Tatro_011996					Tatro_005537
			Tatro_009351					Tatro_005557
			Tatro_010295					Tatro_005567
			Tatro_001394					Tatro_005570
			Tatro_002681					Tatro_005571
			Tatro_002258					Tatro_005582
			Tatro_002258					Tatro_005601
			Tatro_002258					Tatro_005602
			Tatro_002258					Tatro_005625
			Tatro_005587					Tatro_005627
			Tatro_001505					Tatro_005628
			Tatro_000365					Tatro_005681
			Tatro_010300					Tatro_005692
			Tatro_006558					Tatro_005753
			Tatro_002714					Tatro_005762
			Tatro_010008					Tatro_005780
			Tatro_000741					Tatro_005798
			Tatro_007667					Tatro_005813
			Tatro_010927					Tatro_005849
			Tatro_004773					Tatro_005854
			Tatro_010962					Tatro_005873
			Tatro_002357					Tatro_005880
			Tatro_011995					Tatro_005882
			Tatro_001538					Tatro_005885
			Tatro_001226					Tatro_005889
			Tatro_002502					Tatro_005892
			Tatro_002822					Tatro_005895
			Tatro_011994					Tatro_005907
			Tatro_006785					Tatro_005938
			Tatro_006223					Tatro_005939
			Tatro_004013					Tatro_005946
			Tatro_005627					Tatro_005946
			Tatro_005349					Tatro_005946
			Tatro_010636					Tatro_005946
			Tatro_009648					Tatro_005947
			Tatro_004633					Tatro_005958
			Tatro_002315					Tatro_005959
			Tatro_001862					Tatro_005970
			Tatro_003716					Tatro_005980
			Tatro_010299					Tatro_005982
			Tatro_007077					Tatro_005986
			Tatro_007955					Tatro_005999
			Tatro_007955					Tatro_006015
			Tatro_007955					Tatro_006047
			Tatro_007955					Tatro_006056
			Tatro_004118					Tatro_006073
			Tatro_006751					Tatro_006079
			Tatro_011056					Tatro_006087
			Tatro_003779					Tatro_006092
			Tatro_003779					Tatro_006097
			Tatro_003779					Tatro_006104
			Tatro_003779					Tatro_006107
			Tatro_005506					Tatro_006114
			Tatro_008884					Tatro_006115
			Tatro_004635					Tatro_006121
			Tatro_004232					Tatro_006142
			Tatro_007844					Tatro_006146
			Tatro_007304					Tatro_006180
			Tatro_000891					Tatro_006184
			Tatro_000891					Tatro_006224
			Tatro_000891					Tatro_006239
			Tatro_000891					Tatro_006267
			Tatro_004634					Tatro_006270
			Tatro_009522					Tatro_006273
			Tatro_009865					Tatro_006276
			Tatro_002352					Tatro_006280
			Tatro_005312					Tatro_006300
			Tatro_007147					Tatro_006404
			Tatro_007070					Tatro_006414
			Tatro_004358					Tatro_006440
			Tatro_009161					Tatro_006441
			Tatro_001393					Tatro_006444
			Tatro_007644					Tatro_006459
			Tatro_003370					Tatro_006460
			Tatro_002353					Tatro_006462
			Tatro_010568					Tatro_006464
			Tatro_003610					Tatro_006485
			Tatro_000863					Tatro_006489
			Tatro_001287					Tatro_006493
			Tatro_004202					Tatro_006494
			Tatro_000728					Tatro_006495
			Tatro_005932					Tatro_006496
			Tatro_011081					Tatro_006498
			Tatro_002266					Tatro_006499
			Tatro_002644					Tatro_006501
			Tatro_009579					Tatro_006502
			Tatro_010297					Tatro_006503
			Tatro_010297					Tatro_006508
			Tatro_010297					Tatro_006512
			Tatro_010297					Tatro_006513
			Tatro_002959					Tatro_006525
			Tatro_005875					Tatro_006527
			Tatro_007847					Tatro_006549
			Tatro_004164					Tatro_006568
			Tatro_004120					Tatro_006575
			Tatro_005392					Tatro_006592
			Tatro_006404					Tatro_006594
			Tatro_002261					Tatro_006595
			Tatro_007868					Tatro_006614
			Tatro_006568					Tatro_006615
			Tatro_010044					Tatro_006627
			Tatro_006114					Tatro_006637
			Tatro_007842					Tatro_006642
			Tatro_007842					Tatro_006695
