geneid,GOid
Tatro_002982-T1,GO:0005515;GO:0008270;GO:0003676;GO:0016818;GO:0005524
Tatro_007960-T1,GO:0003824;GO:0016747;GO:0008152
Tatro_005844-T1,GO:0005515
Tatro_008043-T1,GO:0006561;GO:0055114;GO:0004735
Tatro_007929-T1,GO:0016791;GO:0008152
Tatro_005927-T1,GO:0000981;GO:0005634;GO:0006355;GO:0008270
Tatro_007020-T1,GO:0022891;GO:0055085;GO:0016020;GO:0022857;GO:0005215;GO:0016021
Tatro_004050-T1,GO:0005515
Tatro_007989-T1,GO:0004806;GO:0016042
Tatro_000785-T1,GO:0005524;GO:0051082;GO:0006457
Tatro_010985-T1,GO:0022891;GO:0055085;GO:0016020;GO:0022857;GO:0005215;GO:0016021
Tatro_000793-T1,GO:0003677;GO:0003909;GO:0006281;GO:0071897;GO:0051103;GO:0005524;GO:0006310;GO:0003910
Tatro_000070-T1,GO:0003824;GO:0009116
Tatro_000514-T1,GO:0055114;GO:0016491
Tatro_011958-T1,GO:0016491;GO:0008152
Tatro_010120-T1,GO:0003824;GO:0004834;GO:0006568;GO:0000162;GO:0008152
Tatro_000047-T1,GO:0005515
Tatro_009768-T1,GO:0005515
Tatro_009340-T1,GO:0003677;GO:0006351;GO:0005634;GO:0006355;GO:0008270;GO:0000981
Tatro_006629-T1,GO:0016787;GO:0046872;GO:0003993
Tatro_006058-T1,GO:0005515;GO:0030071;GO:0005680
Tatro_010943-T1,GO:0016491;GO:0008152
Tatro_004549-T1,GO:0046373;GO:0046556
Tatro_004193-T1,GO:0016491;GO:0050660;GO:0055114;GO:0004499;GO:0050661
Tatro_007196-T1,GO:0016887;GO:0055085;GO:0006810;GO:0005524;GO:0042626;GO:0016021
Tatro_009241-T1,GO:0003824;GO:0031177;GO:0008152
Tatro_010816-T1,GO:0000981;GO:0005634;GO:0006355;GO:0008270
Tatro_003836-T1,GO:0016428;GO:0003723;GO:0008168
Tatro_010317-T1,GO:0005515;GO:0005524;GO:0008270
Tatro_009157-T1,GO:0004650;GO:0005975
Tatro_010956-T1,GO:0005515;GO:0005089;GO:0035556;GO:0035023;GO:0005085
Tatro_008541-T1,GO:0010181;GO:0005506;GO:0016491;GO:0055114;GO:0070330;GO:0020037;GO:0016705;GO:0003958
Tatro_004484-T1,GO:0055070;GO:0005507
Tatro_004440-T1,GO:0003677;GO:0006351;GO:0005634;GO:0006355;GO:0008270;GO:0000981
Tatro_008906-T1,GO:0030163;GO:0016787;GO:0005524;GO:0005737
Tatro_010308-T1,GO:0006741;GO:0003951;GO:0008152;GO:0019674
Tatro_010797-T1,GO:0003824;GO:0031177;GO:0008152
Tatro_011159-T1,GO:0005515
Tatro_006714-T1,GO:0003873;GO:0003824;GO:0006003;GO:0005524;GO:0006000;GO:0008152
Tatro_008978-T1,GO:0005509
Tatro_004160-T1,GO:0008168
Tatro_003018-T1,GO:0005740;GO:0004129
Tatro_008076-T1,GO:0003824;GO:0008152
Tatro_011399-T1,GO:0004553;GO:0005975
Tatro_005248-T1,GO:0004736;GO:0046872;GO:0003677;GO:0006090;GO:0003824;GO:0006094;GO:0009374;GO:0005524;GO:0004075
Tatro_007307-T1,GO:0055114;GO:0016491
Tatro_008623-T1,GO:0016620;GO:0016491;GO:0055114;GO:0008152
Tatro_001559-T1,GO:0003796;GO:0009253;GO:0016998;GO:0005975
Tatro_002618-T1,GO:0003677;GO:0006351;GO:0005634;GO:0006355;GO:0008270;GO:0000981
Tatro_009365-T1,GO:0006412;GO:0005840;GO:0003735
Tatro_010618-T1,GO:0005515
Tatro_008613-T1,GO:0003677;GO:0006351;GO:0005634;GO:0006355;GO:0008270;GO:0000981
Tatro_004947-T1,GO:0035023;GO:0005089
Tatro_008730-T1,GO:0019901
Tatro_008062-T1,GO:0030248;GO:0005975;GO:0004553;GO:0005576
Tatro_007516-T1,GO:0005524;GO:0003676
